key,Customer Age,Quantity,Revenue,Cost,Unit Price,Unit Cost,Profit Margin
17.0_F_France_Essonne,17.0,6.0,779.0,801.0,129.83333349999998,133.5,0.09018672537508153
17.0_F_France_Hauts de Seine,17.0,7.0,1355.0,1181.0,312.45833325,272.875,0.1527432718465061
17.0_F_France_Loiret,17.0,3.0,43.0,44.0,14.333333,14.67,-0.023255813953488372
17.0_F_France_Nord,17.0,6.0,1284.0,1380.0,283.7777776666667,300.0,-0.12104924636286668
17.0_F_France_Seine (Paris),17.0,10.0,1037.0,907.0,91.46666660000001,82.26599999999999,0.045366293761533574
17.0_F_France_Seine Saint Denis,17.0,18.0,2683.0,3021.0,127.14814811111111,134.96333333333334,0.1257705389037908
17.0_F_France_Yveline,17.0,2.0,154.0,95.0,77.0,47.5,0.38311688311688313
17.0_F_Germany_Bayern,17.0,3.0,836.0,635.0,210.75,160.0,0.2628812683094951
17.0_F_Germany_Brandenburg,17.0,2.0,443.0,325.0,221.5,162.5,0.26636568848758463
17.0_F_Germany_Hamburg,17.0,10.0,2975.0,2004.0,331.86666660000003,238.8,0.2968521377349033
17.0_F_Germany_Hessen,17.0,7.0,936.0,705.0,109.44444433333332,82.5,0.2548978467832883
17.0_F_Germany_Nordrhein-Westfalen,17.0,5.0,3325.0,2494.0,560.5,420.6666666666667,0.23772574326546983
17.0_F_Germany_Saarland,17.0,8.0,2369.0,1699.0,404.0,282.9575,0.305716974748608
17.0_F_United Kingdom_England,17.0,60.0,14084.0,12666.0,249.55769230769232,227.32076923076923,0.1215364645235258
17.0_F_United States_California,17.0,112.0,24348.0,23607.0,232.2156862745098,223.25176470588235,0.11390523807303346
17.0_F_United States_Illinois,17.0,2.0,83.0,82.0,41.5,41.0,0.0625
17.0_F_United States_Oregon,17.0,25.0,1475.0,1269.0,60.666666727272734,53.28727272727272,0.20139966055745503
17.0_F_United States_Washington,17.0,6.0,402.0,315.0,110.22222233333333,85.0,0.19507215693052196
17.0_M_France_Essonne,17.0,13.0,2002.0,2007.0,175.86111116666666,164.91666666666666,0.0361887331961715
17.0_M_France_Garonne (Haute),17.0,11.0,864.0,728.0,96.0833335,83.1675,0.28170320741717425
17.0_M_France_Hauts de Seine,17.0,4.0,116.0,131.0,31.666666499999998,34.835,-0.10930550803968525
17.0_M_France_Loiret,17.0,9.0,1511.0,1128.0,167.888889,125.33333333333333,0.016256524981357195
17.0_M_France_Nord,17.0,11.0,1741.0,1490.0,226.63888883333334,189.55499999999998,0.18227946335518552
17.0_M_France_Seine (Paris),17.0,7.0,3191.0,3462.0,544.6,587.3,-0.13336830494980378
17.0_M_France_Seine Saint Denis,17.0,6.0,652.0,444.0,108.6666665,74.0,0.23606600835045397
17.0_M_France_Val d'Oise,17.0,4.0,423.0,353.0,121.16666649999999,94.83500000000001,0.19270732181006023
17.0_M_France_Yveline,17.0,3.0,706.0,739.0,319.75,337.0,-0.02013541707672322
17.0_M_Germany_Bayern,17.0,12.0,3460.0,2284.0,329.354166625,217.16625,0.3505176199006661
17.0_M_Germany_Hamburg,17.0,8.0,1429.0,1039.0,138.41666675,101.4175,0.25776147889506507
17.0_M_Germany_Hessen,17.0,4.0,488.0,341.0,101.6666665,70.5,0.3126463700234192
17.0_M_Germany_Nordrhein-Westfalen,17.0,19.0,5984.0,4480.0,387.93939390909094,283.45454545454544,0.29049784124682493
17.0_M_Germany_Saarland,17.0,27.0,5129.0,3565.0,201.0,137.09833333333333,0.3138126733415895
17.0_M_United Kingdom_England,17.0,119.0,17526.0,15064.0,172.62578618867923,148.59132075471697,0.14878497411136296
17.0_M_United States_California,17.0,78.0,17298.0,15598.0,277.5265151818182,248.53431818181818,0.10508622078854227
17.0_M_United States_Oregon,17.0,33.0,9293.0,8659.0,303.5833333888889,274.40777777777777,0.1027666685570231
17.0_M_United States_Washington,17.0,71.0,16003.0,15142.0,280.3243243783784,265.23837837837834,0.11752790901647675
18.0_F_France_Essonne,18.0,5.0,1444.0,1381.0,256.5,246.25,0.018421052631578946
18.0_F_France_Loiret,18.0,10.0,2187.0,1610.0,179.7666666,139.634,0.1872211538307353
18.0_F_France_Nord,18.0,14.0,2055.0,1745.0,197.19047614285714,172.8814285714286,0.1278015010494041
18.0_F_France_Seine (Paris),18.0,6.0,1401.0,990.0,339.05555566666663,238.89000000000001,0.2101626922219746
18.0_F_France_Seine Saint Denis,18.0,14.0,6251.0,5350.0,470.833333375,406.83375,0.08837276097043988
18.0_F_France_Yveline,18.0,15.0,5462.0,4540.0,371.14583325,300.875,0.12867940014487295
18.0_F_Germany_Bayern,18.0,5.0,5573.0,4366.0,1194.9166665,918.915,0.20553607286948605
18.0_F_Germany_Hamburg,18.0,8.0,3656.0,3237.0,542.6666666,487.466,0.1785311413209888
18.0_F_Germany_Hessen,18.0,30.0,6619.0,4423.0,277.80952385714284,187.82142857142858,0.3292870102775951
18.0_F_Germany_Nordrhein-Westfalen,18.0,3.0,185.0,145.0,61.666667,48.33,0.21621621621621623
18.0_F_Germany_Saarland,18.0,44.0,18011.0,13995.0,498.86363640909093,392.73409090909087,0.28387597982605195
18.0_F_United Kingdom_England,18.0,108.0,24320.0,20848.0,265.6522988448276,228.64086206896553,0.14798418886356957
18.0_F_United States_California,18.0,99.0,20478.0,19376.0,273.38095236734694,256.564693877551,0.10306156741116787
18.0_F_United States_Oregon,18.0,28.0,4471.0,4383.0,246.2708333125,245.760625,0.11852397898892386
18.0_F_United States_Washington,18.0,76.0,14929.0,14718.0,222.43333334285714,213.67142857142858,0.08935241880667044
18.0_M_France_Essonne,18.0,4.0,982.0,693.0,337.0,241.5,0.2956293706293706
18.0_M_France_Nord,18.0,6.0,2066.0,1860.0,449.05555566666663,377.77666666666664,0.14083082803626576
18.0_M_France_Pas de Calais,18.0,7.0,1905.0,1429.0,338.91666675,263.875,0.08403629152710035
18.0_M_France_Seine (Paris),18.0,9.0,1868.0,1377.0,230.25,173.08333333333334,0.21530501337663788
18.0_M_France_Yveline,18.0,3.0,830.0,1120.0,276.666667,373.33,-0.3493975903614458
18.0_M_Germany_Bayern,18.0,22.0,8043.0,5793.0,518.3518517777778,374.22222222222223,0.25459160212828486
18.0_M_Germany_Hamburg,18.0,11.0,2025.0,1421.0,200.8333334,140.766,0.29759199276903214
18.0_M_Germany_Hessen,18.0,11.0,5998.0,4450.0,443.92857142857144,323.04714285714283,0.29709035558228125
18.0_M_Germany_Nordrhein-Westfalen,18.0,21.0,8677.0,6602.0,420.02083325,325.14625,0.2888415502989292
18.0_M_Germany_Saarland,18.0,13.0,4935.0,3759.0,377.72222222222223,285.3333333333333,0.24870763006102856
18.0_M_United Kingdom_England,18.0,56.0,10889.0,9366.0,246.29310344827587,206.09206896551726,0.13467933754348232
18.0_M_United States_California,18.0,159.0,35874.0,34593.0,278.65686275294115,265.93517647058826,0.11242409867232454
18.0_M_United States_Oregon,18.0,31.0,8229.0,7422.0,270.9166667142857,252.82142857142858,0.10130353522508481
18.0_M_United States_Washington,18.0,69.0,17927.0,16471.0,302.2352941470588,280.95588235294116,0.12348424222210515
19.0_F_France_Essonne,19.0,14.0,3593.0,2831.0,373.47619042857144,297.6657142857143,0.2741634018244818
19.0_F_France_Garonne (Haute),19.0,8.0,273.0,261.0,34.277777666666665,33.723333333333336,-0.01240713758926483
19.0_F_France_Hauts de Seine,19.0,17.0,1936.0,1648.0,118.20370366666667,104.75888888888888,0.1559892700855787
19.0_F_France_Loiret,19.0,6.0,2646.0,1849.0,656.9444443333333,456.6666666666667,0.3141411323414843
19.0_F_France_Nord,19.0,1.0,1823.0,2071.0,1823.0,2071.0,-0.13603949533735601
19.0_F_France_Seine (Paris),19.0,11.0,2204.0,1967.0,263.94444433333337,249.61166666666668,0.127056391778022
19.0_F_France_Seine Saint Denis,19.0,24.0,2923.0,2544.0,126.7727271818182,110.95454545454545,0.13969283930175364
19.0_F_France_Val d'Oise,19.0,5.0,1287.0,1039.0,274.1666666666667,237.33333333333334,0.06357015373368671
19.0_F_France_Val de Marne,19.0,2.0,861.0,840.0,430.5,420.0,0.024390243902439025
19.0_F_Germany_Bayern,19.0,12.0,2597.0,1993.0,232.56666660000002,173.73200000000003,0.26135637230892395
19.0_F_Germany_Hamburg,19.0,21.0,9137.0,7353.0,615.3166667,499.967,0.2628416477911068
19.0_F_Germany_Hessen,19.0,16.0,4118.0,2946.0,326.2142857142857,234.07142857142858,0.29788217582547133
19.0_F_Germany_Nordrhein-Westfalen,19.0,14.0,7854.0,6212.0,614.375,477.02125,0.2444044304177314
19.0_F_Germany_Saarland,19.0,19.0,5135.0,4083.0,283.13333320000004,222.033,0.2884933242564073
19.0_F_United Kingdom_England,19.0,110.0,24099.0,21845.0,296.8218390689655,269.3044827586207,0.1325010788126466
19.0_F_United States_California,19.0,112.0,23152.0,22085.0,255.33918124561404,240.99438596491228,0.09176917186596877
19.0_F_United States_Oregon,19.0,58.0,21139.0,20421.0,437.22413796551723,411.71241379310345,0.05342420718341922
19.0_F_United States_Washington,19.0,87.0,16894.0,16086.0,232.31481482222222,221.37777777777777,0.09579158184019533
19.0_M_France_Essonne,19.0,9.0,1263.0,1199.0,140.33333299999998,133.22333333333333,-0.14529186312625805
19.0_M_France_Hauts de Seine,19.0,6.0,1239.0,801.0,206.5,133.5,0.11071458708370838
19.0_M_France_Nord,19.0,16.0,3425.0,2633.0,244.66666666666666,189.44444444444446,0.2155724113364248
19.0_M_France_Seine (Paris),19.0,19.0,5680.0,5341.0,342.166666625,302.16625,0.10854379066686447
19.0_M_France_Seine Saint Denis,19.0,21.0,3475.0,2857.0,231.59259255555557,207.07444444444445,0.20418165051426806
19.0_M_France_Seine et Marne,19.0,2.0,72.0,54.0,36.0,27.0,0.25
19.0_M_France_Yveline,19.0,5.0,314.0,290.0,76.0833335,70.835,0.18148820326678766
19.0_M_Germany_Bayern,19.0,7.0,205.0,146.0,35.958333249999995,25.5825,0.28880561905672514
