Year,Customer Age,Customer Gender,Product Category,Quantity,Unit Price,Profit Margin,Age Group,Quarter
2016,29,F,Accessories,1,109.0,0.26605504587155965,25-34,Q1
2016,29,F,Clothing,2,28.5,0.14035087719298245,25-34,Q1
2016,29,F,Accessories,3,5.0,0.26666666666666666,25-34,Q1
2016,29,F,Accessories,2,116.5,0.24892703862660945,25-34,Q1
2016,29,F,Accessories,3,41.666667,0.16,25-34,Q1
2016,29,F,Accessories,1,78.0,0.15384615384615385,25-34,Q2
2016,29,F,Accessories,2,60.0,0.13333333333333333,25-34,Q2
2016,29,F,Accessories,1,68.0,0.11764705882352941,25-34,Q2
2016,29,F,Accessories,2,10.0,0.2,25-34,Q2
2016,29,F,Accessories,2,3.0,0.16666666666666666,25-34,Q2
2016,29,F,Accessories,2,21.0,0.16666666666666666,25-34,Q2
2016,29,F,Accessories,3,48.666667,0.1780821917808219,25-34,Q3
2016,29,F,Accessories,2,60.0,0.23333333333333334,25-34,Q3
2016,29,F,Accessories,1,10.0,0.1,25-34,Q3
2015,29,F,Accessories,3,181.333333,0.1636029411764706,25-34,Q3
2015,29,F,Accessories,3,72.666667,0.03669724770642202,25-34,Q3
2015,29,F,Accessories,1,439.0,0.12300683371298406,25-34,Q3
2015,29,F,Accessories,2,86.5,0.16184971098265896,25-34,Q3
2015,29,F,Accessories,3,212.666667,0.012539184952978056,25-34,Q3
2015,29,F,Accessories,1,74.0,0.13513513513513514,25-34,Q3
2015,29,F,Accessories,3,359.666667,0.0917516218721038,25-34,Q3
2015,29,F,Accessories,1,136.0,0.08088235294117647,25-34,Q4
2015,29,F,Accessories,2,18.0,0.027777777777777776,25-34,Q4
2015,29,F,Accessories,2,226.0,0.048672566371681415,25-34,Q4
2015,29,F,Accessories,3,23.0,0.043478260869565216,25-34,Q4
2015,29,F,Accessories,1,820.0,0.08536585365853659,25-34,Q4
2015,29,F,Accessories,2,70.5,0.14893617021276595,25-34,Q4
2015,29,F,Accessories,1,130.0,0.038461538461538464,25-34,Q4
2015,29,F,Accessories,1,143.0,0.02097902097902098,25-34,Q4
2015,29,F,Accessories,2,213.5,0.09836065573770492,25-34,Q4
2015,29,F,Accessories,3,43.333333,0.11538461538461539,25-34,Q4
2015,29,F,Accessories,3,170.0,0.10784313725490197,25-34,Q4
2015,29,F,Accessories,1,65.0,0.13846153846153847,25-34,Q4
2015,29,F,Accessories,3,123.666667,0.12129380053908356,25-34,Q4
2015,29,F,Accessories,3,15.0,0.022222222222222223,25-34,Q4
2015,29,F,Accessories,2,269.0,-0.040892193308550186,25-34,Q4
2015,29,F,Accessories,2,320.5,0.0842433697347894,25-34,Q4
2015,29,F,Accessories,2,2.0,0.0,25-34,Q4
2015,29,F,Accessories,1,472.0,0.11016949152542373,25-34,Q4
2015,29,F,Accessories,2,303.0,0.09075907590759076,25-34,Q4
2015,29,F,Accessories,1,120.0,0.0,25-34,Q4
2015,29,F,Accessories,1,624.0,-0.009615384615384616,25-34,Q4
2015,29,F,Accessories,2,36.0,0.09722222222222222,25-34,Q4
2015,29,F,Accessories,3,389.333333,0.1309931506849315,25-34,Q4
2015,29,F,Accessories,3,11.0,0.030303030303030304,25-34,Q4
2015,29,F,Accessories,3,41.666667,0.12,25-34,Q4
2015,29,F,Accessories,2,249.5,0.018036072144288578,25-34,Q4
2015,18,F,Accessories,1,677.0,0.060561299852289516,18-24,Q3
2015,18,F,Accessories,3,170.666667,0.068359375,18-24,Q4
2016,18,M,Bikes,1,875.0,0.12114285714285715,18-24,Q2
2015,18,M,Bikes,1,2242.0,-0.023639607493309546,18-24,Q3
2015,18,M,Bikes,1,776.0,0.00902061855670103,18-24,Q3
2015,18,M,Bikes,2,1005.0,-0.15422885572139303,18-24,Q4
2015,18,M,Bikes,1,2303.0,0.0034737299174989146,18-24,Q4
2015,19,F,Accessories,2,813.0,0.019065190651906518,18-24,Q3
2016,19,M,Bikes,3,188.333333,0.04424778761061947,18-24,Q1
2015,19,M,Bikes,1,2160.0,-0.07407407407407407,18-24,Q3
2016,19,M,Clothing,3,117.666667,0.1501416430594901,18-24,Q1
2016,19,M,Clothing,1,985.0,0.23857868020304568,18-24,Q1
2016,19,M,Clothing,3,164.333333,0.18864097363083165,18-24,Q2
2016,19,M,Accessories,3,95.333333,0.07692307692307693,18-24,Q2
2016,19,M,Clothing,2,384.0,0.21875,18-24,Q2
2015,19,M,Clothing,3,161.0,0.17184265010351968,18-24,Q3
2015,19,M,Clothing,2,569.5,-0.04302019315188762,18-24,Q3
2015,19,M,Clothing,2,79.5,0.05660377358490566,18-24,Q3
2016,19,M,Accessories,2,126.0,0.21031746031746032,18-24,Q1
2016,19,F,Accessories,3,51.666667,0.0967741935483871,18-24,Q1
2016,19,F,Accessories,1,218.0,0.19724770642201836,18-24,Q1
2016,19,F,Accessories,2,60.0,0.125,18-24,Q2
2015,19,F,Accessories,2,139.5,0.12186379928315412,18-24,Q3
2015,19,F,Accessories,1,458.0,0.08296943231441048,18-24,Q4
2016,20,M,Clothing,3,52.666667,0.14556962025316456,18-24,Q2
2015,20,M,Clothing,2,30.5,0.11475409836065574,18-24,Q4
